user_id,variant,converted,pre_spend,sessions,clicks
USR_00001,A (Control),0,59.66,3,1
USR_00002,A (Control),0,39.39,4,1
USR_00003,A (Control),1,36.8,3,2
USR_00004,A (Control),0,36.8,3,3
USR_00005,A (Control),0,108.43,5,2
USR_00006,A (Control),0,70.08,6,1
USR_00007,A (Control),0,30.93,6,2
USR_00008,A (Control),0,61.35,4,1
USR_00009,A (Control),0,50.85,4,1
USR_00010,A (Control),0,7.89,5,1
USR_00011,A (Control),0,19.83,3,2
USR_00012,A (Control),0,53.26,5,0
USR_00013,A (Control),0,102.39,8,3
USR_00014,A (Control),0,37.02,5,0
USR_00015,A (Control),0,29.2,6,1
USR_00016,A (Control),1,46.68,4,2
USR_00017,A (Control),1,27.95,6,1
USR_00018,A (Control),0,35.3,4,6
USR_00019,A (Control),0,42.94,5,0
USR_00020,A (Control),0,19.06,5,1
USR_00021,A (Control),0,72.34,7,4
USR_00022,A (Control),0,16.41,2,3
USR_00023,A (Control),0,14.81,3,3
USR_00024,A (Control),0,49.39,5,3
USR_00025,A (Control),1,68.91,4,4
USR_00026,A (Control),1,48.58,6,4
USR_00027,A (Control),0,40.02,7,1
USR_00028,A (Control),0,35.06,7,4
USR_00029,A (Control),0,31.14,3,1
USR_00030,A (Control),0,82.5,9,3
USR_00031,A (Control),0,53.59,7,0
USR_00032,A (Control),0,32.96,6,3
USR_00033,A (Control),0,26.3,2,1
USR_00034,A (Control),0,63.95,4,3
USR_00035,A (Control),1,81.32,3,1
USR_00036,A (Control),0,76.94,3,0
USR_00037,A (Control),0,23.03,4,1
USR_00038,A (Control),0,34.85,4,1
USR_00039,A (Control),0,30.7,6,3
USR_00040,A (Control),0,38.09,4,1
USR_00041,A (Control),0,71.92,5,1
USR_00042,A (Control),1,96.78,2,1
USR_00043,A (Control),0,54.88,4,2
USR_00044,A (Control),0,26.98,4,1
USR_00045,A (Control),0,42.29,2,0
USR_00046,A (Control),1,107.64,3,1
USR_00047,A (Control),0,45.95,5,5
USR_00048,A (Control),0,35.11,8,7
USR_00049,A (Control),0,37.18,5,3
USR_00050,A (Control),0,54.72,5,3
USR_00051,A (Control),0,23.62,3,0
USR_00052,A (Control),0,30.18,4,1
USR_00053,A (Control),0,76.25,4,2
USR_00054,A (Control),0,53.75,3,2
USR_00055,A (Control),0,46.25,3,0
USR_00056,A (Control),0,78.56,4,1
USR_00057,A (Control),0,25.78,5,1
USR_00058,A (Control),0,34.39,6,3
USR_00059,A (Control),0,52.65,6,3
USR_00060,A (Control),1,51.48,5,3
USR_00061,A (Control),0,13.59,3,2
USR_00062,A (Control),1,32.09,5,1
USR_00063,A (Control),0,38.76,5,3
